ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y
81,24982a0f-e3f5-41b9-b07c-6821608d2f07,512,Forestal_Plantado,1/24/2020 3:00:00 PM,Rocha,cecoed,,6/9/2022 2:45:17 PM,sinae_covid_19,6/9/2022 2:45:17 PM,sinae_covid_19,-53.5832319580066,-34.0584403186138
82,b46b5b6e-eafa-4952-afda-f84a1ddb74e4,505,De_Campo,1/26/2020 3:00:00 PM,Lavalleja,cecoed,2,6/9/2022 2:53:49 PM,sinae_covid_19,6/9/2022 2:53:49 PM,sinae_covid_19,-55.1989091930734,-34.3656823279443
83,8297aa11-f610-44d6-8ad6-e91bd51dedee,503,De_Campo,1/26/2020 3:00:00 PM,Tacuarembo,cecoed,,6/9/2022 3:39:37 PM,sinae_covid_19,6/9/2022 3:39:37 PM,sinae_covid_19,-56.4884043066379,-32.8106330325828
84,6e7f4067-0484-4e95-8f32-ffe3ab4e5ff6,506,De_Campo,1/27/2020 3:00:00 PM,Lavalleja,cecoed,2,6/9/2022 3:49:36 PM,sinae_covid_19,6/9/2022 3:49:36 PM,sinae_covid_19,-54.5323223564369,-33.4111662793456
85,77430176-59d0-4641-9b1e-3827b7440173,513,Forestal_Plantado,2/1/2020 3:00:00 PM,Lavalleja,cecoed,40,6/9/2022 3:59:32 PM,sinae_covid_19,6/9/2022 4:05:36 PM,sinae_covid_19,-55.3950134826695,-34.4116549591047
86,c20e66b7-193b-4d01-ba11-500061b04a84,516,Forestal_Plantado,2/3/2020 3:00:00 PM,Maldonado,cecoed,4,6/9/2022 3:59:34 PM,sinae_covid_19,6/9/2022 4:04:03 PM,sinae_covid_19,-55.3905180847123,-34.7687218104084
87,ebf2a800-5630-468b-bb55-3f3b4b0372da,518,Forestal_Nativo,2/3/2020 3:00:00 PM,Maldonado,cecoed,,6/9/2022 4:21:31 PM,sinae_covid_19,6/9/2022 4:21:31 PM,sinae_covid_19,-55.2534678741275,-34.8028974973701
88,ed04877b-eb9d-4aa6-bcd3-a51270f68639,515,Interface_Urbana,2/3/2020 3:00:00 PM,Canelones,cecoed,,6/9/2022 4:21:33 PM,sinae_covid_19,6/9/2022 4:21:33 PM,sinae_covid_19,-55.5545191217102,-34.7799825815267
89,fa26ad75-5bd5-450f-a663-63da351deef6,517,Forestal_Plantado,2/3/2020 3:00:00 PM,Maldonado,cecoed,30,6/9/2022 4:21:35 PM,sinae_covid_19,6/9/2022 4:21:35 PM,sinae_covid_19,-54.8272233810501,-34.8993161747838
90,c5b7b0c7-0e35-4378-963d-947748c733b8,519,De_Campo,2/4/2020 3:00:00 PM,Montevideo,cecoed,,6/9/2022 4:30:32 PM,sinae_covid_19,6/9/2022 4:30:32 PM,sinae_covid_19,-56.1446180157804,-34.7686101363144
91,88249e2e-461a-430a-859c-613f09447263,520,Interface_Urbana,2/4/2020 3:00:00 PM,Canelones,cecoed,,6/9/2022 4:33:21 PM,sinae_covid_19,6/9/2022 4:33:21 PM,sinae_covid_19,-56.068906957702,-34.6537791715576
92,b3c7f043-d916-4dfd-a5a9-8d37fd6a7d67,521,De_Campo,3/4/2020 3:00:00 PM,Florida,cecoed,4,6/9/2022 4:51:50 PM,sinae_covid_19,6/9/2022 4:51:50 PM,sinae_covid_19,-56.2101446240246,-34.1217444669327
93,0bf4fbe6-db73-4186-95eb-608d7e3a4050,546,Forestal_Plantado,5/16/2020 3:00:00 PM,Rocha,cecoed,,6/9/2022 5:00:18 PM,sinae_covid_19,6/9/2022 5:00:18 PM,sinae_covid_19,-53.5773708552298,-34.0440712880516
